 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 4.00 13.00 8.00 9.00 19.31 0.0 0.00 -56.0 13.135 42.731
 Schlum. VES 4.00 11.00 7.00 8.00 17.54 0.0 0.00 -56.0 11.285 24.257
 Schlum. VES 4.00 9.00 6.00 7.00 17.62 0.0 0.00 -56.0 6.517 6.973
 Schlum. VES 4.00 7.00 5.00 6.00 17.42 0.0 0.00 -56.0 19.054 6.873
 Schlum. VES 5.00 42.00 23.00 24.00 24.49 0.0 0.00 -56.0 6.612 290.091
 Schlum. VES 5.00 40.00 22.00 23.00 25.13 0.0 0.00 -56.0 13.193 504.666
 Schlum. VES 5.00 38.00 21.00 22.00 24.27 0.0 0.00 -56.0 20.034 705.442
 Schlum. VES 5.00 36.00 20.00 21.00 23.33 0.0 0.00 -56.0 2.232 72.122
 Schlum. VES 5.00 34.00 19.00 20.00 24.12 0.0 0.00 -56.0 7.528 205.900
 Schlum. VES 5.00 32.00 18.00 19.00 24.02 0.0 0.00 -56.0 34.885 830.460
 Schlum. VES 5.00 30.00 17.00 18.00 23.97 0.0 0.00 -56.0 8.068 164.926
 Schlum. VES 5.00 28.00 16.00 17.00 22.97 0.0 0.00 -56.0 7.267 131.204
 Schlum. VES 5.00 26.00 15.00 16.00 22.51 0.0 0.00 -56.0 7.617 116.945
 Schlum. VES 5.00 24.00 14.00 15.00 20.78 0.0 0.00 -56.0 6.402 87.106
 Schlum. VES 5.00 22.00 13.00 14.00 20.66 0.0 0.00 -56.0 36.246 396.861
 Schlum. VES 5.00 20.00 12.00 13.00 20.15 0.0 0.00 -56.0 11.272 98.402
 Schlum. VES 5.00 18.00 11.00 12.00 19.80 0.0 0.00 -56.0 95.743 638.040
 Schlum. VES 5.00 16.00 10.00 11.00 19.81 0.0 0.00 -56.0 10.618 50.519
 Schlum. VES 5.00 14.00 9.00 10.00 19.62 0.0 0.00 -56.0 24.649 78.918
 Schlum. VES 5.00 12.00 8.00 9.00 18.51 0.0 0.00 -56.0 11.171 22.747
 Schlum. VES 5.00 10.00 7.00 8.00 16.96 0.0 0.00 -56.0 5.487 6.097
 Schlum. VES 5.00 8.00 6.00 7.00 17.96 0.0 0.00 -56.0 17.579 6.151
 Schlum. VES 6.00 43.00 24.00 25.00 24.35 0.0 0.00 -56.0 19.360 854.054
 Schlum. VES 6.00 41.00 23.00 24.00 24.35 0.0 0.00 -56.0 21.483 848.247
 Schlum. VES 6.00 39.00 22.00 23.00 24.92 0.0 0.00 -56.0 25.196 864.126
 Schlum. VES 6.00 37.00 21.00 22.00 24.04 0.0 0.00 -56.0 6.390 200.418
 Schlum. VES 6.00 35.00 20.00 21.00 23.15 0.0 0.00 -56.0 28.388 809.031
 Schlum. VES 6.00 33.00 19.00 20.00 23.96 0.0 0.00 -56.0 5.220 124.564
 Schlum. VES 6.00 31.00 18.00 19.00 23.79 0.0 0.00 -56.0 23.836 490.924
 Schlum. VES 6.00 29.00 17.00 18.00 23.77 0.0 0.00 -56.0 19.143 333.989
 Schlum. VES 6.00 27.00 16.00 17.00 22.60 0.0 0.00 -56.0 10.980 167.890
 Schlum. VES 6.00 25.00 15.00 16.00 22.37 0.0 0.00 -56.0 77.915 984.896
 Schlum. VES 6.00 23.00 14.00 15.00 20.53 0.0 0.00 -56.0 8.640 95.215
 Schlum. VES 6.00 21.00 13.00 14.00 20.39 0.0 0.00 -56.0 15.723 135.689
 Schlum. VES 6.00 19.00 12.00 13.00 19.84 0.0 0.00 -56.0 16.867 112.149
 Schlum. VES 6.00 17.00 11.00 12.00 19.50 0.0 0.00 -56.0 16.848 81.438
 Schlum. VES 6.00 15.00 10.00 11.00 19.25 0.0 0.00 -56.0 10.535 34.383
 Schlum. VES 6.00 13.00 9.00 10.00 18.94 0.0 0.00 -56.0 11.985 23.853
 Schlum. VES 6.00 11.00 8.00 9.00 17.70 0.0 0.00 -56.0 6.078 6.472
 Schlum. VES 6.00 9.00 7.00 8.00 17.73 0.0 0.00 -56.0 19.468 6.898
 Schlum. VES 7.00 42.00 24.00 25.00 24.32 0.0 0.00 -56.0 12.824 506.873
 Schlum. VES 7.00 40.00 23.00 24.00 24.09 0.0 0.00 -56.0 9.480 336.315
