Injection timings : 
on	off	delay_ui	delay_m	interval_m	subinterval_m	per_meas	smpl_rate
400	400	300	10	50	5	12	1

Type	C1(x)	C1(y)	C1(z)	C2(x)	C2(y)	C2(z)	P1(x)	P1(y)	P1(z)	P2(x)	P2(y)	P2(z)	MP(x)	MP(y)	MP(z)	K	a	b	I	U	Rho	Sp	M	Z	P	D	M0	M1	M2	M3	M4	Channel	U/I gain	Filter (Fcut1)	Inj.U	Time
GND	260.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	260.00	0.00	0.00	1.00	5.00	5.00	6.15	60.00	9759.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:59
GND	265.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	265.00	0.00	0.00	1.00	5.00	5.00	4.27	60.00	14045.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:01
GND	270.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	270.00	0.00	0.00	1.00	5.00	5.00	5.00	60.00	12000.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:04
GND	275.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	275.00	0.00	0.00	1.00	5.00	5.00	5.12	60.00	11718.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:06
GND	280.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	280.00	0.00	0.00	1.00	5.00	5.00	8.81	60.00	6812.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:09
GND	285.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	285.00	0.00	0.00	1.00	5.00	5.00	8.71	60.00	6888.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:11
GND	290.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	290.00	0.00	0.00	1.00	5.00	5.00	6.09	60.00	9851.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:14
GND	295.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	295.00	0.00	0.00	1.00	5.00	5.00	6.47	60.00	9268.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:17
GND	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	300.00	0.00	0.00	1.00	5.00	5.00	4.51	60.00	13294.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:19
GND	305.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	305.00	0.00	0.00	1.00	5.00	5.00	7.57	60.00	7921.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:22
