Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	IP sum window 1-1	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-07-04 16:46:57	60	1989	5	6.5	0	0	11	0	0	9	0	0	9.5	0	0	9	0	0.747		31.058	178.735	0.244448	0	7.87067	0.0357239	211.941	2	0	17.1754954322976	12.8947	12.6642	44.2753	0	52.4048	9.82073	
2017-07-04 16:46:57	60	1990	8	6.5	0	0	11	0	0	9.5	0	0	10	0	0	9.25	0	0.509		31.058	178.735	0.385438	0	12.4102	0.0375911	204.687	2	0	18.1566988788762	12.8947	12.6642	44.2753	0	52.4048	9.82073	
2017-07-04 16:49:00	73	1991	4	8.5	0	0	13	0	0	12	0	0	12.5	0	0	11.5	0	0.268		48.4827	180.388	1.56084	0	32.1938	0.0442676	195.304	2	0	19.9933555451469	12.8947	12.6642	44.0154	0	52.4048	9.82073	
2017-07-04 16:47:06	61	1992	5	11	0	0	15.5	0	0	12	0	0	12.5	0	0	12.75	0	0.509		34.4032	178.672	0.394804	0	11.4758	0.0386864	189.275	2	0	15.6088562454011	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:06	61	1993	2	11	0	0	15.5	0	0	12.5	0	0	13	0	0	13	0	0.747		34.4032	178.672	0.255675	0	7.43173	0.0465936	200.121	2	0	17.1868829165069	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:06	61	1994	6	11	0	0	15.5	0	0	13	0	0	13.5	0	0	13.25	0	0.853		34.4032	178.672	0.265224	0	7.70929	0.0358318	242.194	2	0	14.1893319374423	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:06	61	1995	3	11	0	0	15.5	0	0	13.5	0	0	14	0	0	13.5	0	0.747		34.4032	178.672	0.295719	0	8.59569	0.0398665	231.464	2	0	16.5631696307683	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:06	61	1996	7	11	0	0	15.5	0	0	14	0	0	14.5	0	0	13.75	0	0.509		34.4032	178.672	0.50175	0	14.5844	0.0526546	240.546	2	0	23.5973116066102	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:06	61	1997	4	11	0	0	15.5	0	0	14.5	0	0	15	0	0	14	0	0.268		34.4032	178.672	1.16563	0	33.8814	0.0430919	205.542	2	0	25.7124830078514	12.8947	12.6642	44.2753	0	52.4047	9.82071	
2017-07-04 16:47:15	62	1998	2	15.5	0	0	20	0	0	17	0	0	17.5	0	0	17.5	0	0.747		75.4088	179.138	0.646138	0	8.56847	0.0476422	230.731	2	0	18.0159739692933	12.8947	12.6642	44.2753	0	52.4047	9.8207	
2017-07-04 16:47:15	62	1999	6	15.5	0	0	20	0	0	17.5	0	0	18	0	0	17.75	0	0.853		75.4088	179.138	0.60935	0	8.08061	0.0393556	253.86	2	0	16.7048125537988	12.8947	12.6642	44.2753	0	52.4047	9.8207	
2017-07-04 16:47:15	62	2000	3	15.5	0	0	20	0	0	18	0	0	18.5	0	0	18	0	0.747		75.4088	179.138	0.749667	0	9.94137	0.0450462	267.7	2	0	19.7416780629944	12.8947	12.6642	44.2753	0	52.4047	9.8207	
2017-07-04 16:41:50	24	2001	4	1	0	0	10	0	0	8	0	0	9	0	0	7	0	0.536		40.1681	179.226	0.632126	0	15.737	0.036598	190.938	2	0	17.6119019242821	12.8947	12.6642	45.3149	0	52.4048	9.82071	
2017-07-04 16:47:24	63	2002	1	2.5	0	0	7	0	0	3	0	0	3.5	0	0	4	0	0.268		42.6958	179.841	2.07651	0	48.635	0.0490862	295.045	2	0	21.4278368049338	12.8947	12.6642	44.2753	0	52.4047	9.82069	
2017-07-04 16:47:24	63	2003	2	2.5	0	0	7	0	0	4	0	0	4.5	0	0	4.5	0	0.747		42.6958	179.841	0.450712	0	10.5564	0.0358117	284.261	2	0	14.590640951361	12.8947	12.6642	44.2753	0	52.4047	9.82069	
2017-07-04 16:41:35	22	2004	7	0.5	0	0	9.5	0	0	6.5	0	0	7.5	0	0	6	0	1.018		40.052	179.839	0.275927	0	6.88922	0.0287448	227.253	2	0	14.6823233078389	12.8858	12.6642	45.3149	0	52.4048	9.82069	
2017-07-04 16:43:14	34	2005	2	4.5	0	0	13.5	0	0	6.5	0	0	7.5	0	0	8	0	1.018		44.7025	179.521	0.378771	0	8.47315	0.0238491	279.501	2	0	14.3013304498798	12.8947	12.6642	44.7951	0	52.4047	9.82069	
2017-07-04 16:47:24	63	2006	6	2.5	0	0	7	0	0	4.5	0	0	5	0	0	4.75	0	0.853		42.6958	179.841	0.39482	0	9.24727	0.0301101	290.511	2	0	12.8414986449159	12.8947	12.6642	44.2753	0	52.4047	9.82069	
2017-07-04 16:47:24	63	2007	7	2.5	0	0	7	0	0	5.5	0	0	6	0	0	5.25	0	0.509		42.6958	179.841	0.581976	0	13.6308	0.0394414	224.817	2	0	15.9564762847275	12.8947	12.6642	44.2753	0	52.4047	9.82069	
2017-07-04 16:47:24	63	2008	4	2.5	0	0	7	0	0	6	0	0	6.5	0	0	5.5	0	0.268		42.6958	179.841	1.64665	0	38.567	0.0508472	233.968	2	0	19.4592569177284	12.8947	12.6642	44.2753	0	52.4047	9.82069	
2017-07-04 16:47:43	65	2009	6	11.5	0	0	16	0	0	13.5	0	0	14	0	0	13.75	0	0.853		44.9305	179.761	0.322841	0	7.18534	0.0198503	225.734	2	0	15.162636334398	12.8947	12.6642	44.1454	0	52.4047	9.82069	
2017-07-04 16:47:43	65	2010	7	11.5	0	0	16	0	0	14.5	0	0	15	0	0	14.25	0	0.509		44.9305	179.761	0.588883	0	13.1065	0.0220801	216.171	2	0	20.5309856510697	12.8947	12.6642	44.1454	0	52.4047	9.82069	
2017-07-04 16:46:13	55	2011	5	1.5	0	0	6	0	0	2.5	0	0	3	0	0	3.25	0	0.509		44.4568	179.395	0.846029	0	19.0304	0.0391405	313.875	2	0	17.2530259436575	12.8947	12.6554	44.4052	0	52.4048	9.82076	
2017-07-04 16:47:53	66	2012	5	3	0	0	7.5	0	0	4	0	0	4.5	0	0	4.75	0	0.509		24.8032	178.402	0.409992	0	16.5298	0.0363234	272.632	2	0	18.6970353129957	12.8947	12.6642	44.2753	0	52.4047	9.82069	
